,Artist,Album
0,Devon Gilfillian,Truth EP
1,Masta Ace & Marco Polo,A Breukelen Story
2,Nylon Smile,Angel of Doubt
3,Maggie Rogers,Heard it in a Past Life
4,Sneaks,Highway Hypnosis
5,Sharon Van Etten,Remind Me Tomorrow
6,Mike Krol,Power Chords
7,Angelo de Augustine,Tomb
8,Olga Solar,Antilullaby
9,Pedro The Lion,Phoenix
10,Cosmico,Overthinker Know It All
11,MindMassage,Shivers
12,Roving Reporter,Joie de Vivre
13,Buke and Gase,Scholars
14,500 Miles to Memphis,Blessed be the Damned
15,Mallsex,Discreet Sevices
16,Mallsex,Discreet Services
17,Toro y Moi,Outer Peace
18,Those Damn Eyes,Too Far to Turn Back Now
19,Polarizado,It Aint Real… But Its True
20,Down Dirty Shake,Down Dirty Shake
21,Cub Sport,Cub Sport
22,Night Beats,Myth of a Man
23,Terry Ohms,Terryfirma
24,Tallies,Tallies
25,Juliana Hatfield,Weird
26,Praises ,In This Year: Ten of Swords
27,Fahrenheist,Albatross
28,Andrew Friedberg,Thank God For Rock Bottom
29,Royal Canoe,Waver
30,Self-Evident,Lost Inside the Machinery
31,Liz Brasher,Painted Image
32,Lena Elizabeth,Get It Right
33,Exdreams,Physical Contact
34,Deerhunter,Why Hasn't EverythingAlready Disappeared?
35,Steve Gunn,The Unseen In Between
36,Harriet Brown,Mall of Fortune
37,Rat Boy,Internationally Unknown
38,Tunic,Complexion
39,Knuckle Pups,San Panino
40,Guster,Look Alive
41,Punch The Sun,Magic & Mistakes
42,Sons of Raphael,A Nation of Bloodsuckers
43,Rosie Carney,Bare
44,Sam Valdez,Mirage
45,Weeknight,Dead Beat Creep
46,Emily King,Scenery
47,The Twilight  Sad,It Won/t Be Like This All The Time
48,The Twilight Sad,It Won/t Be Like This All The Time
49,Guided by Voices,Zeppelin Over China
50,The Old Firm Casuals,Holgar Danske
51,Mozes and the Firstborn,Dadcore
52,Alexander & The Nobles,The Night's Too Long
53,Lily & Madeleine,Canterbury Girls
54,Mattiel,Customer Copy EP
55,Sydney Wright,Seiche
56,You Tell Me,You Tell Me
57,French for Rabbits,The Weight of Melted Snow
58,Young the Giant,Mirror Master
59,GOOD.,This Is for You
60,dodie,Human
61,The Silver Snails,The 7 Melodies
62,A Fragile Tomorrow,Generation Loss
63,Baby Bulldog,Baby Bulldog
64,The Exbats,E is for Exbats
65,Chrome Sparks,Be On Fire
66,iLLism,iLLuminate
67,Canary,I Am Lion
68,Charlene Soraia ,Where's My Tribe
69,James Blake,Assume Form
70,It's For Us,Stay
71,LIP TALK,D  A  Y  S
72,Julia Holter,Aviary
73,Girlpool,What Chaos is Imaginary
74,Jay Cue,Don't Pick Sides
75,Malibu Ken,Malibu Ken
76,Wunderkap,Silver Linings
77,Beirut,Gallipoli
78,Prateek Kuhad,Cold / Mess
79,Abjects,Never Give Up
80,Anemone,Beat My Distance
81,Only Yours,Overrun
82,Madame Gandhi,Bad Habits
83,LIP,Glass House
84,Cherry Glazerr,Stuffed & Ready
85,Applesauce Tears,Wooly
86,Deer Tick,Mayonnaise
87,Perfect Son,Cast
88,Fish Tank,Shadows EP
89,SMUG,Gorgeous
90,Alex Lilly,2% Milk
91,Panda Bear,Buoys
92,Nikki & The Phantom Callers,"What The Daughter Does, The Mother Did"
93,Y La Bamba,Mujeres
94,Tender,Fear of Falling Asleep
95,Sticky Fingers,Yours To Keep
96,Elena Setien,Another Kind of Revolution
